,Полное наименование учреждения,Полное наименование учреждения 2,Муниципальное образование, Тип населённого пункта,Наименование населенного пункта, Адрес учреждения,Широта,Долгота,Тип подключения (сущ.),"Скорость подключения (сущ.), Мбит/с",Провайдер (сущ.),Тип подключения (план),"Скорость подключения (план), Мбит/с",Дата планируемого подключения,Unnamed: 14
604,МБОУ СОШ № 4 г. Буйнакск,"МКОУ ""СОШ №4""",Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 8","44,656340","45,654839",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
605,МБОУ СОШ № 49,"МКОУ ""СОШ №4""",Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 8","44,656340","45,654839",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
606,МБОУ СОШ № 6 ДАГЕСТАНСКИЕ ОГНИ,МОУ СОШ №6,Городской округ город Дербент,Город,Дербент,"Республика Дагестан, г. Дербент, пл. Свободы, 11","42,057738","48,287963",Медь,12,"ПАО ""Ростелеком""",ВОЛС,100.0,,
607,МБОУ СОШ № 9 Г. КАСПИЙСКА,МОУ СОШ № 9,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. С. Стальского, 27","43,267098","46,570679",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
608,МБОУ СОШ № 9 г. Буйнакск,МОУ СОШ № 9,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. С. Стальского, 27","43,267098","46,570679",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
609,МБОУ СОШ №1 ДАГЕСТАНСКИЕ ОГНИ,МОУ СОШ №1,Городской округ город Кизилюрт,Город,Кизилюрт,"Республика Дагестан, г. Кизилюрт ул. Первомайская, 59б","43,203825","46,872964",Медь,4,"ПАО ""Ростелеком""",ВОЛС,100.0,,
610,МБОУ СОШ №11 Г.ДЕРБЕНТ РД,МОУ СОШ № 11,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, п. Мичурина, Автобусная ул, 1","43,251535","46,562296",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
611,МБОУ СОШ №12 г. Махачкала,МОУ СОШ № 12,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул.40 лет Октября","43,270317","46,591271",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
612,МБОУ СОШ №13,МОУ СОШ № 13,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, Махачкалинское ш., 29","43,234800","46,591271",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
613,МБОУ СОШ №14 Дербент,МОУ СОШ № 14,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Ярыксувская, 5","43,245279","46,571769",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
614,МБОУ СОШ №15,МОУ СОШ № 15,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, п. Бамматбекюрт, ул. Бригадная","43,270893","46,614961",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
615,МБОУ СОШ №19 г. Махачкала,МКОУ СОШ № 19,Городской округ город Хасавюрт,Город,хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Висаидова, 2е","43,250467","46,585129",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
616,МБОУ СОШ №19 Дербент,МКОУ СОШ № 19,Городской округ город Хасавюрт,Город,хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Висаидова, 2е","43,250467","46,585129",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
617,МБОУ СОШ №19,МКОУ СОШ № 19,Городской округ город Хасавюрт,Город,хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Висаидова, 2е","43,250467","46,585129",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
618,МБОУ СОШ №2 ДАГЕСТАНСКИЕ ОГНИ,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
619,МБОУ СОШ №2 г. Махачкала,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
620,МБОУ СОШ №2,"МКОУ ""СОШ №2 п.Мамедкала""",Дербентский район,Поселок,Мамедкала,"Республика Дагестан, Дербентский район, п. Мамедкала ул. Н.Алиева, 42/А","42,100871","48,072993",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
621,МБОУ СОШ №20 г. Махачкала,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
622,МБОУ СОШ №26 г. Махачкала,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
623,МБОУ СОШ №27 г. Махачкала,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
624,МБОУ СОШ №3 ДАГЕСТАНСКИЕ ОГНИ,МОУ СОШ №3,Городской округ город Южно-Сухокумск,Город,Южносухокумск,"Республика Дагестан, г. Южносухокумск","44,660247","45,649952",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,100.0,,
625,МБОУ СОШ №41 г. Махачкала,"МКОУ ""СОШ №4""",Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 8","44,656340","45,654839",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
626,МБОУ СОШ №5 ДАГЕСТАНСКИЕ ОГНИ,МОУ СОШ № 5,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Нурадилова 53","43,251661","46,596387",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
627,МБОУ СОШ №5 Каспийск,МОУ СОШ № 5,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Нурадилова 53","43,251661","46,596387",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
628,МБОУ СОШ №50 г. Махачкала,МОУ СОШ № 5,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Нурадилова 53","43,251661","46,596387",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
629,МБОУ СОШ №59 г. Махачкала,МОУ СОШ № 5,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Нурадилова 53","43,251661","46,596387",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
630,МБОУ СОШ №6 г. Махачкала,МОУ СОШ №6,Городской округ город Дербент,Город,Дербент,"Республика Дагестан, г. Дербент, пл. Свободы, 11","42,057738","48,287963",Медь,12,"ПАО ""Ростелеком""",ВОЛС,100.0,,
631,МБОУ СОШ №6 Каспийск,МОУ СОШ №6,Городской округ город Дербент,Город,Дербент,"Республика Дагестан, г. Дербент, пл. Свободы, 11","42,057738","48,287963",Медь,12,"ПАО ""Ростелеком""",ВОЛС,100.0,,
632,МБОУ СОШ №61 г. Махачкала,МОУ СОШ №6,Городской округ город Дербент,Город,Дербент,"Республика Дагестан, г. Дербент, пл. Свободы, 11","42,057738","48,287963",Медь,12,"ПАО ""Ростелеком""",ВОЛС,100.0,,
633,МБОУ СОШ №7 ДАГЕСТАНСКИЕ ОГНИ,МОУ СОШ № 7,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Казбекова, 92","43,255155","46,588392",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
634,МБОУ СОШ №8 ДАГЕСТАНСКИЕ ОГНИ,МОУ СОШ № 8,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, Ботаюртовское ш., 7","43,265169","46,597589",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
635,МБОУ СОШ №9 Г.ДЕРБЕНТ РД,МОУ СОШ № 9,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. С. Стальского, 27","43,267098","46,570679",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
636,МБОУ Специальная ОШИ 1 вида_г. Махачкала,,,,,,,,,,,,,,
637,МБОУ Специальная ОШИ IV вида Махачкала,,,,,,,,,,,,,,
638,МБОУ СШ_4 г. Дербент,,,,,,,,,,,,,,
639,МБОУ ТЛИБИШИНСКАЯ СОШ,,,,,,,,,,,,,,
640,МБОУ Чиркейская Гимназия,,,,,,,,,,,,,,
641,МБОУ ШИ для детей сирот_г_Махачкала,,,,,,,,,,,,,,
642,МБОУ Школа-интернат II вида г.Махачкала,,,,,,,,,,,,,,
