,Район,Тип н п,Наименование нас пункта,Наименование,Адрес,ИНН,Контакты,Широта,Долгота,Тип учреждения,Тип подключения (сущ),Скорость подключения (сущ),Тип подключения (план),Скорость подключения (план)
567,Тарумовский район,Село,Калиновка,МКОУ КАЛИНОВСКАЯ СОШ,"Республика Дагестан, Тарумовский район, с. Калиновка",531004885.0,,"43,96713","46,570142",,Медь,4.0,ВОЛС,50.0
568,Сергокалинский район,Село,Канасираги,МКОУ КАНАСИРАГИНСКАЯ СОШ,"Республика Дагестан, Сергокалинский район, с. Канасираги",527002885.0,,"42,252305","47,649534",,Медь,4.0,ВОЛС,50.0
569,Кулинский район,Село,Кани,МКОУ КАНИНСКАЯ ООШ,"Республика Дагестан, Кулинский район, с. Кани",,,"42,139766","47,189655",,Медь,1.0,ВОЛС,50.0
570,Хивский район,Село,Канциль,МКОУ КАНЦИЛЬСКАЯ СОШ,"Республика Дагестан, Хивский район, с. Канциль",535003709.0,,"41,751912","48,017315",,Спутник,1.0,ВОЛС,50.0
571,Ногайский район,Село,Карагас,МКОУ КАРАГАССКАЯ СОШ,"Республика Дагестан, Ногайский район, с. Карагас",525005930.0,,"44,253459","45,383233",,Спутник,1.0,ВОЛС,50.0
572,Гунибский район,Село,Карадах,МКОУ КАРАДАХСКАЯ СОШ,"Республика Дагестан, Гунибский район, с. Карадах",,,"42,470992","46,864642",,Медь,4.0,ВОЛС,50.0
573,Докузпаринский район,Село,Каракюре,МКОУ КАРАКЮРИНСКАЯ СОШ,"Республика Дагестан, Докузпаринский район, с. Каракюре",553003444.0,,"41,418041","47,962011",,Медь,4.0,ВОЛС,50.0
574,Левашинский район,Село,Карекадани,МКОУ КАРЕКАДАНИНСКАЯ СОШ,"Республика Дагестан, Левашинский район с. Карекадани",521008961.0,,"42,356704","47,132164",,Медь,4.0,ВОЛС,50.0
575,Хасавюртовский район,Село,Карланюрт,МКОУ КАРЛАНЮРТОВСКАЯ СОШ,"Республика Дагестан, Хасавюртовский район, с. Карланюрт",534009240.0,,"43,231324","46,646674",,Медь,12.0,ВОЛС,50.0
576,Кизлярский район,Село,Им. Карла Маркса,МКОУ Карломарксовская СОШ,"Республика Дагестан, Кизлярский район, с. им. Карла Маркса",517011979.0,,"43,896276","46,789458",,Медь,4.0,ВОЛС,50.0
577,Магарамкентский район,Село,Картас-Казмаляр,МКОУ КАРТАСКАЗМАЛЯРСКАЯ СОШ,"Республика Дагестан, Магарамкентский район, с. Картас-Казмаляр",523000140.0,,"41,817985","48,396082",,Медь,4.0,ВОЛС,50.0
578,Шамильский район,Село,Кахиб,МКОУ Кахибская СОШ,"Республика Дагестан, Шамильский район, с. Кахиб",528005790.0,,"42,429002","46,596472",,Медь,4.0,ВОЛС,50.0
579,Сулейман-Стальский район,Село,Кахцуг,МКОУ КАХЦУГСКАЯ СОШ,"Республика Дагестан, Сулейман-стальский район, с. Кахцуг",529010610.0,,"41,771667","48,371111",,Медь,4.0,ВОЛС,50.0
580,Сулейман-Стальский район,Село,Качалкент,МКОУ КАЧАЛКЕНТСКАЯ ООШ,"Республика Дагестан, Сулейман-стальский район, с. Качалкент",529009974.0,,"41,603889","48,165",,Медь,4.0,ВОЛС,50.0
581,Ботлихский район,Село,Кванхидатли,МКОУ КВАНХИДАТЛИНСКАЯ ООШ,"Республика Дагестан, Ботлихский район с. Кванхидатли",506005853.0,,"42,657827","46,271995",,Медь,4.0,ВОЛС,50.0
582,Курахский район,Село,Квардал,МКОУ КВАРДАЛСКАЯ ООШ,"Республика Дагестан, Курахский район, с. Квардал",519002137.0,,"41,68013","47,563704",,Медь,4.0,ВОЛС,50.0
583,Гунибский район,Село,Кегер,МКОУ КЕГЕРСКАЯ СОШ,"Республика Дагестан, Гунибский район, с. Кегер",510008215.0,,"42,376782","47,026142",,Медь,15.0,ВОЛС,50.0
584,Хасавюртовский район,Село,Кемсиюрт,МКОУ КЕМСИЮРТОВСКАЯ СОШ,"Республика Дагестан, Хасавюртовский район, с. Кемсиюрт",534002029.0,,"43,43414","46,435817",,Медь,4.0,ВОЛС,50.0
585,Ботлихский район,Село,Кижани,МКОУ КИЖАНИНСКАЯ ООШ,"Республика Дагестан, Ботлихский район с. Кижани",506005878.0,,"42,740654","46,365807",,Медь,4.0,ВОЛС,50.0
586,Гумбетовский район,Село,Килятль,МКОУ КИЛЯТЛИНСКАЯ СОШ,"Республика Дагестан, Гумбетовский район, с. Килятль",509105550.0,,"42,704796","46,466274",,Медь,4.0,ВОЛС,50.0
587,Кизилюртовский район,Село,Кироваул,МКОУ КИРОВАУЛЬСКАЯ СОШ,"Республика Дагестан, Кизилюртовский район, с. Кироваул",516008268.0,,"43,234969","46,842046",,Медь,4.0,ВОЛС,50.0
588,Сергокалинский район,Село,Кичи-Гамри,МКОУ КИЧИГАМРИНСКАЯ СОШ,"Республика Дагестан, Сергокалинский район, с. Кичи-Гамри",527002878.0,,"42,313847","47,71063",,Медь,4.0,ВОЛС,50.0
589,Магарамкентский район,Село,Кличхан,МКОУ КЛИЧХАНСКАЯ ООШ,"Республика Дагестан, Магарамкентский район, с. Кличхан",523000693.0,,"41,758556","48,422975",,Медь,4.0,ВОЛС,50.0
590,Хасавюртовский район,Село,Кокрек,МКОУ КОКРЕКСКАЯ СОШ,"Республика Дагестан, Хасавюртовский район, с. Кокрек",534024431.0,,"43,237593","46,72454",,Медь,12.0,ВОЛС,50.0
591,Тарумовский район,Село,Коктюбей,МКОУ Коктюбейская ООШ,"Республика Дагестан, Тарумовский район, с. Коктюбей",531004839.0,,"44,268124","46,739422",,Медь,4.0,ВОЛС,50.0
592,Гунибский район,Село,Корода,МКОУ КОРОДИНСКАЯ СОШ,"Республика Дагестан, Гунибский район, с. Корода",510008649.0,,"42,44968","46,847429",,Медь,4.0,ВОЛС,50.0
593,Хасавюртовский район,Село,Костек,МКОУ КОСТЕКСКАЯ СОШ,"Республика Дагестан, Хасавюртовский район, с. Костек",534024618.0,,"43,340336","46,85224",,Медь,12.0,ВОЛС,50.0
594,Кизлярский район,Село,Косякино,МКОУ Косякинская СОШ,"Республика Дагестан, Кизлярский район, с. Косякино",547005845.0,,"43,902111","46,680555",,Медь,4.0,ВОЛС,50.0
595,Сергокалинский район,Село,Краснопартизанск,МКОУ КРАСНОПАРТИЗАНСКАЯ СОШ,"Республика Дагестан, Сергокалинский район, с. Краснопартизанск",527002980.0,,"42,274652","48,01656",,Медь,4.0,ВОЛС,50.0
596,Шамильский район,Село,Куаниб,МКОУ КУАНИБСКАЯ ООШ,"Республика Дагестан, Шамильский район, с. Куаниб",528008128.0,,"42,509589","46,613138",,Медь,4.0,ВОЛС,50.0
597,Хивский район,Село,Куг,МКОУ КУГСКАЯ СОШ ИМ.Б.БАЙРАМБЕКОВА,"Республика Дагестан, Хивский район, с. Куг",535003730.0,,"41,7708","47,964243",,Спутник,1.0,ВОЛС,50.0
598,Гунибский район,Село,Кудали,МКОУ КУДАЛИНСКАЯ СОШ,"Республика Дагестан, Гунибский район, с. Кудали",510008335.0,,"42,369453","47,075246",,Медь,4.0,ВОЛС,50.0
599,Гергебильский район,Село,Кудутль,МКОУ Кудутлинская СОШ Герг-й район,"Республика Дагестан, Гергебильский район, с. Кудутль",508009980.0,,"42,577481","47,018895",,Медь,4.0,ВОЛС,50.0
600,Табасаранский район,Село,Кужник,МКОУ КУЖНИКСКАЯ СОШ,"Республика Дагестан, Табасаранский район, с. Кужник",530007467.0,,"41,955832","47,820843",,Медь,4.0,ВОЛС,50.0
601,Левашинский район,Село,Кулибухна,МКОУ КУЛИБУХНИНСКАЯ ООШ,"Республика Дагестан, Левашинский район с. Кулибухна",521008993.0,,"42,315896","47,18443",,Медь,4.0,ВОЛС,50.0
602,Кизилюртовский район,Село,Кульзеб,МКОУ КУЛЬЗЕБСКАЯ СОШ,"Республика Дагестан, Кизилюртовский район, с. Кульзеб",516008324.0,,"43,172547","47,010804",,Медь,4.0,ВОЛС,50.0
603,Ногайский район,Село,Кумли,МКОУ КУМЛИНСКАЯ СОШ,"Республика Дагестан, Ногайский район, с. Кумли",525005979.0,,"43,990557","46,064",,Спутник,1.0,ВОЛС,50.0
604,Курахский район,Село,Кумук,МКОУ КУМУКСКАЯ СОШ,"Республика Дагестан, Курахский район, с. Кумук",,,"41,835873","48,417846",,Медь,4.0,ВОЛС,50.0
605,Лакский район,Село,Кунды,МКОУ КУНДЫНСКАЯ СОШ,"Республика Дагестан, Лакский район, с. Кунды.",520001963.0,,"42,268627","47,16524",,Медь,4.0,ВОЛС,50.0
606,Гумбетовский район,Село,Кунзах,МКОУ КУНЗАХСКАЯ ООШ,"Республика Дагестан, Гумбетовский район, с. Кунзах",509006630.0,,"42,748534","46,664853",,Медь,4.0,ВОЛС,50.0
607,Табасаранский район,Село,Курек,МКОУ КУРЕКСКАЯ СОШ,"Республика Дагестан, Табасаранский район, с. Курек",530007594.0,,"41,952696","47,859247",,Медь,4.0,ВОЛС,50.0
608,Табасаранский район,Село,Куркак,МКОУ КУРКАКСКАЯ СОШ,"Республика Дагестан, Табасаранский район, с. Куркак",530007795.0,,"41,910821","47,973558",,Медь,4.0,ВОЛС,50.0
609,Лакский район,Село,Куркли,МКОУ КУРКЛИНСКАЯ СОШ,"Республика Дагестан, Лакский район, с. Куркли.",520001794.0,,"42,282751","47,127189",,Медь,4.0,ВОЛС,50.0
610,Левашинский район,Село,Кутиша,МКОУ КУТИШИНСКАЯ СОШ,"Республика Дагестан, Левашинский район с. Кутиша",521008506.0,,"42,423511","47,281759",,Медь,4.0,ВОЛС,50.0
611,Тляратинский район,Село,Кутлаб,МКОУ КУТЛАБСКАЯ СОШ,"Республика Дагестан, Тляратинский район, с. Кутлаб",532000481.0,,"42,096451","46,329863",,Медь,4.0,ВОЛС,50.0
612,Курахский район,Село,Кутул,МКОУ КУТУЛЬСКАЯ ООШ,"Республика Дагестан, Курахский район, с. Кутул",519002024.0,,"41,545124","47,966161",,Медь,4.0,ВОЛС,50.0
613,Курахский район,Село,Кучхюр,МКОУ КУЧХЮРСКАЯ СОШ,"Республика Дагестан, Курахский район, с. Кучхюр",519002151.0,,"41,522944","47,865237",,Медь,4.0,ВОЛС,50.0
