,Район,Тип н п,Наименование нас пункта,Наименование,Адрес,ИНН,Контакты,Широта,Долгота,Тип учреждения,Тип подключения (сущ),Скорость подключения (сущ),Тип подключения (план),Скорость подключения (план)
449,Карабудахкентский район,Село,Манаскент,МБОУ МАНАСКЕНТСКАЯ СОШ,"Республика Дагестан, Карабудахкентский район, с. Манаскент, ул. Коркмасова, 15",,,"42,741525","47,691864",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
450,Карабудахкентский район,Село,Манас,МБОУ МАНАССКАЯ СОШ,"Республика Дагестан, Карабудахкентский район, с. Манас, ул. Нурадилова, 10",522010917.0,,"42,728333","47,6784",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
451,Ахвахский район,Село,Местерух,МБОУ МЕСТЕРУХСКАЯ СОШ,"Республика Дагестан, Ахвахский район, с. Местерух, ул. Местерухская, д. 2",503005326.0,,"42,576303","46,396161",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
452,Городской округ город Махачкала,Город,Махачкала,МБОУ Многопрофильный лицей 3 г.Махачкала,"Республика Дагестан, г. Махачкала, ул. Лёвина, 39",,,"42,986519","47,497254",Общеобразовательная организация,Медь,15.0,ВОЛС,100.0
453,Городской округ город Махачкала,Город,Махачкала,МБОУ Многопрофильный лицей 9 Махачкала,"Республика Дагестан, г. Махачкала, ул. Лаптиева, 45",,,"42,972041","47,536082",Общеобразовательная организация,Медь,15.0,ВОЛС,100.0
454,Буйнакский район,Село,Н.-Казанище,МБОУ Нижнеказанищенская СОШ 2,"Республика Дагестан, Буйнакский район, с. Нижнее Казанище,  улица Уллубия Буйнакского, 124.",507009723.0,,"42,76411","47,1603",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
455,Каякентский район,Село,Нововикри,МБОУ НОВОВИКРИНСКАЯ СОШ,"Республика Дагестан, Каякентский район, с. Нововикри",515013106.0,,"42,297723","47,994891",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
456,Карабудахкентский район,Село,Параул,МБОУ ПАРАУЛЬСКАЯ СОШ №2,"Республика Дагестан, Карабудахкентский район, с. Параул, ул. Изиева, 34",,,"42,741111","47,355692",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
457,Хасавюртовский район,Село,Первомайское,МБОУ Первомайская СОШ им. И.Г. Исакова,"Республика Дагестан, Хасавюртовский район, с. Первомайское",534029486.0,,"43,437579","46,344479",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
458,Шамильский район,Село,Сомода,МБОУ С,"Республика Дагестан, Шамильский район, с. Сомода, ул Магомеда Тайгибова, 16",543012520.0,,"42,305992","46,53478",Общеобразовательная организация,Отсутствует,0.0,ВОЛС,50.0
459,Городской округ город Каспийск,Город,Каспийск,МБОУ СОШ № 6 ИМ. ОМАРОВА М.О.,"Республика Дагестан, г. Каспийск, ул. Ленина, 74",561041940.0,,"42,896985","47,627968",Общеобразовательная организация,Медь,10.0,ВОЛС,100.0
460,Ахвахский район,Село,Тадмагитль,МБОУ ТАД-МАГИТЛИНСКАЯ СОШ,"Республика Дагестан, Ахвахский район, с. Тадмагитль, ул. Тад-Магитлинская, д. 134а",503005358.0,,"42,549562","46,347443",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
461,Цумадинский район,Село,Тинди,МБОУ Тиндинская СОШ Цумада,"Республика Дагестан, Цумадинский район, с. Тинди",537003944.0,,"42,455113","46,134342",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
462,Хасавюртовский район,Село,Тукита,МБОУ ТУКИТИНСКАЯ СОШ,"Республика Дагестан, Хасавюртовский район, с. Тукита, ул. Г.Хизриева, 41",534023131.0,,"43,492325","46,614109",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
463,Карабудахкентский район,Село,Уллубийаул,МБОУ УЛЛУБИЙАУЛЬСКАЯ СОШ,"Республика Дагестан, Карабудахкентский район, с. Уллубийаул, ул. Карабудахкентская, 1",,,"42,5981","47,7182",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
464,Магарамкентский район,Село,Филя,МБОУ ФИЛЯЛИНСКАЯ СОШ,"Республика Дагестан, Магарамкентский район, с. Филя, ул. Велибекова, 82",523004271.0,,"41,723921","48,458997",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
465,Буйнакский район,Село,Халимбекаул,МБОУ Халимбекаульская СОШ Буйнакск. район,"Республика Дагестан, Буйнакский район, с. Халимбекаул, ул.Школьная д.2",507020082.0,,"42,83988","47,14643",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
466,Сулейман-Стальский район,Село,Цмур,МБОУ ЦМУРСКАЯ СОШ,"Республика Дагестан, Сулейман-стальский район, с. Цмур",511002914.0,,"41,684496","48,056347",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
467,Ахвахский район,Село,Цолода,МБОУ ЦОЛОДИНСКАЯ СОШ,"Республика Дагестан, Ахвахский район, с. Цолода, ул. Цолодинская, д. 88б",503005460.0,,"42,637768","46,370655",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
468,Буйнакский район,Село,Чиркей,МБОУ Чиркейский образовательный центр,"Республика Дагестан, Буйнакский район, с. Чиркей, ул.Имама Шамиля 30",507009755.0,,"42,96057","46,9816",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
