Наименование;ИНН;Адрес;
МКОУ 'ЧАПАЕВСКАЯ СОШ №2';0524008889;Российская Федерация,368160,Дагестан Респ,Новолакский р-н,Чапаево с,УЛИЦА ПЯТАЯ,ДОМ 2
МКОУ 'ЧАПАЕВСКАЯ СОШ №1';0524005133;Российская Федерация,368160,Дагестан Респ,Новолакский р-н,Чапаево с,УЛИЦА ОДИННАДЦАТАЯ,ДОМ 7
МКОУ 'ЧАНКУРБЕНСКАЯ СОШ';0507020290;Российская Федерация,368217,Дагестан Респ,Буйнакский р-н,Чанкурбе с
МКОУ 'ЧАНКОВСКАЯ СОШ';0506006180;Российская Федерация,368979,Дагестан Респ,Ботлихский р-н,Чанко с
МКОУ 'ЧАНКАЮРТОВСКАЯ НОШ';0505009439;Российская Федерация,368063,Дагестан Респ,Бабаюртовский р-н,Чанка-Юрт с
МКОУ 'ЧАДАКОЛОБСКАЯ СОШ' ИМ.Д.К.АЛИХАНОВА;0532000234;Российская Федерация,368427,Дагестан Респ,Тляратинский р-н,Чадаколоб с
МКОУ 'ЦЫЙШИНСКАЯ СОШ';0518001719;Российская Федерация,368398,Дагестан Респ,Кулинский р-н,Цыйша с
МКОУ 'ЦУХТЫГСКАЯ СОШ ИМ. Т.Г. ЮНУСОВА';0530007869;Российская Федерация,368652,Дагестан Респ,Табасаранский р-н,Цухтыг с,УЛИЦА ШКОЛЬНАЯ,ДОМ 3
МКОУ 'ЦУРТИЛЬСКАЯ СОШ';0530008559;Российская Федерация,368650,Дагестан Респ,Табасаранский р-н,Цуртиль с
МКОУ 'ЦУРМАХИНСКАЯ НОШ';0527002941;Российская Федерация,368517,Дагестан Респ,Сергокалинский р-н,Цурмахи с,0
МКОУ 'ЦУРИБСКАЯ СОШ';0539003562;Российская Федерация,368450,Дагестан Респ,Чародинский р-н,Цуриб с,УЛ МАГОМЕДОВА ХАБИБА,ДОМ 1
МКОУ  'ЦУНИМАХИНСКАЯ ООШ';0502004930;Российская Федерация,368288,Дагестан Респ,Акушинский р-н,Цунимахи с,УЛ ЦУНИМАХИНСКИЙ,ДОМ 5
МКОУ 'ЦУМИЛЮХСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА';0532000467;Российская Федерация,368424,Дагестан Респ,Тляратинский р-н,Цумилух с
МКОУ 'ЦУЛИКАНИНСКАЯ ООШ';0502005429;Российская Федерация,368295,Дагестан Респ,Акушинский р-н,Цуликана с,УЛ ШКОЛЬНАЯ,ДОМ 92
МКОУ 'ЦУЛДИНСКАЯ ООШ';0539003570;Российская Федерация,368453,Дагестан Респ,Чародинский р-н,Цулда с
МКОУ 'ЦУДИКСКАЯ СОШ';0526013242;Российская Федерация,368700,Дагестан Респ,Рутульский р-н,Цудик с
МКОУ 'ЦУГНИНСКАЯ СОШ ИМ. ГАДЖИМУРАДОВА М.М.';0502005404;Российская Федерация,368297,Дагестан Респ,Акушинский р-н,Цугни с,КВ-Л АМХАЛА ДУХ,ДОМ 16
МКОУ 'ЦНАЛЬСКАЯ СОШ ИМ. Н.А. ВЕЛИХАНОВА';0535003836;Российская Федерация,368686,Дагестан Респ,Хивский р-н,Цнал с,УЛИЦА ШКОЛЬНАЯ,ДОМ 1А
МКОУ 'ЦИНИТСКАЯ СОШ ИМ. МАГОМЕДОВА А.М.';0535003610;Российская Федерация,368685,Дагестан Респ,Хивский р-н,Цинит с
МКОУ 'ЦИЛИТЛИНСКАЯ СОШ';0509006372;Российская Федерация,368939,Дагестан Респ,Гумбетовский р-н,Цилитль с,УЛИЦА ЦЕНТРАЛЬНАЯ,ДОМ 37
МКОУ 'Цемерская ООШ';0539002738;Российская Федерация,368459,Дагестан Респ,Чародинский р-н,Цемер с,0
МКОУ 'ЦЕКОБСКАЯ НОШ';0528008671;Российская Федерация,368430,Дагестан Респ,Шамильский р-н,Цекоб с,УЛИЦА ИМАМА ШАМИЛЯ,ДОМ 68
МКОУ 'ЦЕБАРИНСКАЯ СОШ';0538001756;Российская Федерация,368414,Дагестан Респ,Цунтинский р-н,Цебари с
МКОУ 'ЦВЕТКОВСКАЯ ГИМНАЗИЯ';0517011591;Российская Федерация,368805,Дагестан Респ,Кизлярский р-н,Цветковка с,ул ЛЕНИНА,6
МКОУ 'Цахурская СОШ';0526013179;Российская Федерация,368700,Дагестан Респ,Рутульский р-н,Цахур с,-
МКОУ 'ЦАНАКСКАЯ СОШ';0530008541;Российская Федерация,368662,Дагестан Респ,Табасаранский р-н,Цанак с,УЛ ЦАНАКСКАЯ,ДОМ 246
МКОУ 'ЦАЛКИТИНСКАЯ НАЧАЛЬНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА';0536006364;Российская Федерация,368268,Дагестан Респ,Хунзахский р-н,Цалкита с,УЛ ЦАЛКИТИНСКАЯ,ДОМ 30
МКОУ 'ХЮРЕХЮРСКАЯ СОШ';0519002017;Российская Федерация,368180,Дагестан Респ,Курахский р-н,Хюре-Хюр с
МКОУ 'ХУШТАДИНСКАЯ ШКОЛА - САД';0537003800;Российская Федерация,368904,Дагестан Респ,Цумадинский р-н,Хуштада с,ДОМ 0
МКОУ 'МНОГОПРОФИЛЬНЫЙ ЛИЦЕЙ №1' ТАБАСАРАНСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН;0530005491;Российская Федерация,368650,Дагестан Респ,Табасаранский р-н,Хучни с,УЛИЦА АЙДЕМИРОВА ГАСАНБЕКА АЙДЕМИРОВИЧА,ДОМ 21
