Муниципальное образование;Тип населённого пункта;Наименование населенного пункта;Адрес учреждения;Широта;Долгота;Полное наименование учреждения;Тип подключения (сущ.);Скорость подключения (сущ.), Мбит/с;Провайдер (сущ.);Тип подключения (план);Скорость подключения (план), Мбит/с
Хасавюртовский район;Село;Боташюрт;Республика Дагестан, Хасавюртовский район, с. Боташюрт;43,310281;46,508061;МОУ Боташюртовская СОШ;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Ботаюрт;Республика Дагестан, Хасавюртовский район, с. Ботаюрт;43,314721;46,681196;МОУ Ботаюртовская СОШ;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Табасаранский район;Село;Бурганкент;Республика Дагестан, Табасаранский район, с. Бурганкент;41,899380;48,064539;МОУ Бургакентская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Гунибский район;Село;Бухты;Республика Дагестан, Гунибский район, с. Бухты;42,240501;46,984936;МОУ Бухтинская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Верхние Мулебки;Республика Дагестан, Акушинский район, с. Верхние Мулебки;42,310000;47,518920;"МОУ В/Мулебкинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Ботлихский район;Село;Гагатли;Республика Дагестан, Ботлихский район с. Гагатли;42,800280;46,291480;МОУ Гагатлинская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизилюртовский район;Село;Гадари;Республика Дагестан, Кизилюртовский район, с. Гадари;43,193130;46,770292;МОУ Гадаринская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Новолакский район;Село;Гамиях;Республика Дагестан, Новолакский район, с. Гамиях;43,209167;46,486944;МОУ Гамияхская СОШ №1;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Тляратинский район;Село;Гараколоб;Республика Дагестан, Тляратинский район, с. Гараколоб;42,048998;46,455094;МОУ Гараколобская ООШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Табасаранский район;Село;Гасик;Республика Дагестан, Табасаранский район, с. Гасик;41,923168;47,884986;МОУ Гасикская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Тляратинский район;Село;Гведыш;Республика Дагестан, Тляратинский район, с. Гведыш;42,137229;46,411981;МОУ Гведышинская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Табасаранский район;Село;Гелинбатан;Республика Дагестан, Табасаранский район, с. Гелинбатан;41,947222;48,167306;МОУ Гелинбатанская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизилюртовский район;Село;Гельбах;Республика Дагестан, Кизилюртовский район, с. Гельбах;43,150886;46,856878;МОУ Гельбахская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Тляратинский район;Село;Генеколоб;Республика Дагестан, Тляратинский район, с. Генеколоб;41,917102;46,600743;МОУ Генеколобская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Генжеаул;Республика Дагестан, Хасавюртовский район, с. Генжеаул;43,292365;46,756317;МОУ Генжеаульская СОШ;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Казбековский район;Село;Гертма;Республика Дагестан, Казбековский район, с. Гертма;42,991666;46,744481;МОУ Гертминская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Буйнакск;Город;Буйнакск;Республика Дагестан, г. Буйнакск, ул. Ленина, 42;42,819034;47,116078;МОУ Гимназия;Медь;12;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Кизляр;Город;Кизляр;Республика Дагестан, г. Кизляр, ул. Циолковского, 1;43,838986;46,733152;МОУ Гимназия № 6;Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Дербент;Город;Дербент;Республика Дагестан, г. Дербент, ул. Г. Гасанова, 5а;42,066565;48,293859;МОУ Гимназия №1;Медь;12;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Дербент;Город;Дербент;Республика Дагестан, г. Дербент, ул. Тагиева, 1;42,078096;48,283194;МОУ Гимназия №2;Медь;12;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Дербент;Город;Дербент;Республика Дагестан, г. Дербент, ул. Орта-Капы, ул. Орта-Капы, 11Б;42,053595;48,278755;МОУ Гимназия №3;Медь;12;"ПАО ""Ростелеком""";ВОЛС;100
Табасаранский район;Село;Гисик;Республика Дагестан, Табасаранский район, с. Гисик;41,943929;47,911276;МОУ Гисикская ООШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Ботлихский район;Село;Годобери;Республика Дагестан, Ботлихский район с. Годобери;42,628824;46,116734;МОУ Годоберинская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Гоксуватар;Республика Дагестан, Хасавюртовский район, с. Гоксуватар;43,220255;46,819231;МОУ Гоксувотарская СОШ;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Гунибский район;Село;Гонода;Республика Дагестан, Гунибский район, с. Гонода;42,470641;46,786583;МОУ Гонодинская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Казбековский район;Село;Гостала;Республика Дагестан, Казбековский район, с. Гостала;43,074370;46,692891;МОУ Госталинская ООШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Табасаранский район;Село;Гувлиг;Республика Дагестан, Табасаранский район, с. Гувлиг;41,918584;47,851405;МОУ Гувлигская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Табасаранский район;Село;Гуми;Республика Дагестан, Табасаранский район, с. Гуми;41,894138;47,868855;МОУ Гуминская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
