,Наименование ДОО,Январь_x,Итог,Тип собственности,Январь_y
1532,МБДОУ № 10 «Дюймовочка»,,,Муниципальная,203.0
1533,МБДОУ № 21 «Аленький цветок»,,,Муниципальная,372.0
1534,МБДОУ № 8 «Радуга»,,,Муниципальная,130.0
1535,МБДОУ ЦРР № 4 «Василек»,,,Муниципальная,136.0
1536,!МБДОУ № 31 «Росинка»_ликвид.,,,Муниципальная,95.0
1537,МБДОУ ЦРР № 20 'Аленушка',,,Муниципальная,338.0
1538,МКДОУ ЦРР-Детский сад №8,,,Муниципальная,376.0
1539,МКДОУ ЦРР-Детский сад №11,,,Муниципальная,439.0
1540,!_МКОУ СОШ №2 (гкп)- деят. приост.,,,Муниципальная,0.0
1541,!_МКОУ СОШ №10 (гкп)- деят. приост.,,,Муниципальная,0.0
1542,!_МКОУ 'СОШ №12' (гкп) - деят. приост.,,,Муниципальная,0.0
1543,МКДОУ ЦРР-Детский сад №12 Пчелка,,,Муниципальная,409.0
1544,МКДОУ д/с № 12,,,Муниципальная,159.0
1545,МКДОУ д/с № 8,,,Муниципальная,101.0
1546,МКДОУ ЦРР - д/с № 11_,,,Муниципальная,320.0
1547,МКДОУ ЦРР – д/с №5,,,Муниципальная,288.0
1548,МКДОУ ЦРР-д/с № 6,,,Муниципальная,135.0
1549,МКДОУ д/с №7 'Дюймовочка',,,Муниципальная,147.0
1550,МКДОУ д/с №14 Радуга_ (мкр. Черемушки),,,Муниципальная,334.0
1551,!_МКОУ 'МПЛ №2  им. С.М.Кирова' (гкп)_деят. приост.,,,Муниципальная,0.0
1552,МКДОУ д/с №10,,,Муниципальная,152.0
1553,МКДОУ д/с № 2 'Березка',,,Муниципальная,86.0
1554,МКДОУ д/с №13 'Светлячок',,,Муниципальная,174.0
1555,МКДОУ д/с № 9 'Красная шапочка',,,Муниципальная,105.0
1556,МКДОУ д/с № 3 Тополёк,,,Муниципальная,165.0
1557,!_МКОУ 'Кизлярская гимназия №6 им. А.С.Пушкина' (гкп)_деят. приост.,,,Муниципальная,0.0
1558,МКДОУ д/с № 1 'Синяя птица',,,Муниципальная,172.0
1559,МКДОУ д/с № 4 Крепыш,,,Муниципальная,337.0
1560,МКУДО 'Детский сад №5 'Солнышко' г.Южно-Сухокумск',,,Муниципальная,206.0
1561,МКУДО 'Детский сад №3 'Ромашка' г.Южно-Сухокумск',,,Муниципальная,190.0
1562,МКУДО 'Детский сад №2 'Ивушка' г.Южно-Сухокумск',,,Муниципальная,205.0
1563,_МКОУ «Новочуртахская СОШ №2» (ГКП),,,Муниципальная,24.0
1564,_МКОУ 'Гамияхская СОШ №1' (ГКП),,,Муниципальная,18.0
1565,_МКОУ «Чаравалинская СОШ» (ГКП),,,Муниципальная,18.0
1566,МКДОУ 'Детский сад 'Сказка' с.Новолакское_,,,Муниципальная,165.0
1567,"~МКДОУ Детский сад 'Дюймовочка', с. Новокули (дошк. гр. при  МОУ Новокули СОШ №1)",,,Муниципальная,54.0
1568,_МКОУ «Новочуртахская СОШ №1» (ГКП),,,Муниципальная,14.0
1569,_МКОУ «Дучинская СОШ № 2» (ГКП),,,Муниципальная,10.0
1570,_МКОУ «Новолакская СОШ №1» (гкп),,,Муниципальная,15.0
1571,_МКОУ «Банайюртовская СОШ» (ГКП),,,Муниципальная,21.0
1572,!_МКОУ «Тухчарская СОШ №1» (ГКП)_деят. приост.,,,Муниципальная,0.0
1573,_МКОУ 'Тухчарская СОШ' (ГКП),,,Муниципальная,5.0
1574,_МКОУ «Новокулинская СОШ №2» им Аметхана Султана (ГКП),,,Муниципальная,46.0
1575,"МКДОУ Детский сад 'Солнышко', с.Чапаево_+",,,Муниципальная,195.0
1576,"МКДОУ Детский сад 'Радуга', с.Новочуртах",,,Муниципальная,85.0
1577,_МКОУ «Новомехельтинская СОШ» (ГКП),,,Муниципальная,1.0
1578,_МКОУ «Гамияхская СОШ» (ГКП),,,Муниципальная,4.0
1579,_МКОУ «Ямансуйская СОШ» (ГКП),,,Муниципальная,30.0
1580,_МКОУ 'Ахарская СОШ' (ГКП),,,Муниципальная,7.0
1581,_МКОУ «Гамияхская СОШ №2» (ГКП),,,Муниципальная,16.0
1582,"МБДОУ Детский сад 'Буратино', с.Новолакское",,,Муниципальная,215.0
1583,_МКОУ «Тухчарская ООШ» (ГКП),,,Муниципальная,27.0
1584,_МКОУ «Шушинская СОШ» (ГКП),,,Муниципальная,8.0
1585,_МКОУ «Чапаевская СОШ №1» (ГКП),,,Муниципальная,9.0
1586,_МКОУ 'Новокулинская СОШ №1' (гкп),,,Муниципальная,13.0
1587,_МКОУ «Барчхойотарская СОШ» (ГКП),,,Муниципальная,28.0
1588,"МКДОУ 'Детский сад 'Радуга №1', с.Новочуртах (Новострой)_",,,Муниципальная,115.0
1589,_МБОУ 'Каякентская СОШ № 1' (гкп),,,Муниципальная,15.0
1590,"МБДОУ 'Солнышко', с.Каякент_",,,Муниципальная,263.0
1591,!_МБОУ 'Новокаякентская СОШ' (ГКП)_деят. приостан,,,Муниципальная,0.0
1592,"МБДОУ 'Детский сад 'Радуга', с.Первомайское _",,,Муниципальная,193.0
1593,!_МБОУ 'Дружбинская СОШ' (ГКП)_деят. приост.,,,Муниципальная,0.0
1594,!_МБОУ 'Гергинская СОШ' (ГКП)_деят.приост.,,,Муниципальная,15.0
1595,МБОУ Новокаякентская начальная школа-детский сад,,,Муниципальная,84.0
1596,"МКДОУ Д/сад Колосок, с.Буртихан",,,Муниципальная,24.0
1597,МКДОУ Д/сад Белоснежка с.Дулдуг,,,Муниципальная,29.0
1598,"МКДОУ Детский сад 'Улыбка', с. Фите_",,,Муниципальная,22.0
1599,"МУДОУ 'Детский сад 'Родничок', с.Худиг_",,,Муниципальная,26.0
1600,"МКДОУ Д/сад Радуга, с.Хутхул",,,Муниципальная,36.0
1601,МКДОУ Д/сад Сказка Рича,,,Муниципальная,25.0
1602,МКДОУ Д/сад Солнышко с.Тпиг_,,,Муниципальная,146.0
1603,МКДОУ ДС 'Орленок' с.Кака_,,,Муниципальная,80.0
1604,МКОУ ДОД №3 Ахтынский д/с Рассвет,,,Муниципальная,59.0
1605,МКДОУ «Улыбка» с.Муни,,,Муниципальная,82.0
1606,!_МКОУ «Миарсинская СОШ» (ГКП)_деят.приост.,,,Муниципальная,8.0
1607,!_МКОУ «Хелетуринская СОШ»  (ГКП)_деят.приост.,,,Муниципальная,5.0
1608,МКДОУ «Светлячок» с.Анди,,,Муниципальная,114.0
1609,"МКДОУ Детский сад 'Золотой ключик', с.Ботлих _",,,Муниципальная,80.0
1610,МКДОУ «Ласточка» с.Рахата,,,Муниципальная,165.0
1611,!_МКОУ «Тасутинская ООШ им. М.Асадулаева» (ГКП)_деят. приост.,,,Муниципальная,0.0
1612,МКДОУ «Чебурашка» с.Ботлих,,,Муниципальная,185.0
1613,!_МКОУ «Ортоколинская СОШ» (ГКП)_деят.приост.,,,Муниципальная,7.0
1614,МКДОУ «Солнышко» с.Ботлих,,,Муниципальная,199.0
1615,!_МКОУ «Кижанинская ООШ» (гкп)_деят.приост.,,,Муниципальная,8.0
1616,МКДОУ «Журавлик» с.Шодрода,,,Муниципальная,24.0
1617,МКДОУ «Сказка» с.Ашали,,,Муниципальная,20.0
1618,МКДОУ «Звездочка» с.Тандо,,,Муниципальная,36.0
1619,МКДОУ «Ромашка» с.Алак,,,Муниципальная,43.0
1620,!_МКОУ «Кванхидатлинская ООШ»  (ГКП)_деят.приост.,,,Муниципальная,6.0
1621,!_МКОУ «Рикванинская СОШ» (ГКП)_деят.приост.,,,Муниципальная,10.0
1622,МКДОУ «Орленок» с.Зило,,,Муниципальная,20.0
1623,!_МКОУ «Нижне-Инхеловская ООШ»  (ГКП)_деят.приост.,,,Муниципальная,13.0
1624,МКДОУ «Радуга» с.Тлох,,,Муниципальная,78.0
1625,!_МКОУ «Чанковская СОШ» (ГКП)_деят.приост.,,,Муниципальная,6.0
1626,"МКДОУ 'Детский сад 'Родничок', с.Ботлих_",,,Муниципальная,130.0
1627,МКДОУ «Орленок» с.Гагатли,,,Муниципальная,87.0
1628,МКДОУ «Аист» с.Ансалта,,,Муниципальная,144.0
1629,"МКДОУ 'Детсад 'Теремок', с.Годобери_",,,Муниципальная,68.0
1630,МБОУ 'Чиркейский образовательный центр им.А.Омарова',,,Муниципальная,68.0
1631,"МБДОУ 'Детский сад 'Берхи',  с. Чанкурбе_",,,Муниципальная,47.0
1632,МБДОУ 'Улыбка' с. Чиркей,,,Муниципальная,213.0
1633,МКДОУ 'Родничок' с.Эрпели,,,Муниципальная,96.0
1634,МКДОУ 'Радуга' с.Нижнее Казанище,,,Муниципальная,124.0
1635,МБДОУ 'Юлдуз' с.Нижний Дженгутай,,,Муниципальная,190.0
1636,МБДОУ 'Радуга' с.Верхнее Казанище,,,Муниципальная,183.0
1637,МБДОУ 'Ромашка' с. Буглен,,,Муниципальная,116.0
1638,МКДОУ 'Ласточка' с.Атланаул,,,Муниципальная,107.0
1639,"МБДОУ 'Журавлик', с. Халимбекаул_",,,Муниципальная,87.0
1640,"МБДОУ 'Пчёлка', с.Карамахи_",,,Муниципальная,136.0
1641,МБДОУ 'Сказка' с.Нижнее Казанище_,,,Муниципальная,339.0
1642,МКДОУ 'Теремок' с.Апши,,,Муниципальная,56.0
1643,МБДОУ 'Солнышко' с.Нижнее Казанище,,,Муниципальная,140.0
1644,МКДОУ 'Яшлыкъ' с.Новый Кумух (Кафыркумух),,,Муниципальная,79.0
1645,МБДОУ 'Гёбелек' с.Халимбекаул,,,Муниципальная,247.0
1646,МКДОУ 'Ласточка' с.Манасаул,,,Муниципальная,42.0
1647,~МКОУ 'Чалдинская СОШ' (дошк. группы),,,Муниципальная,11.0
1648,"МКДОУ Ясли-сад 'Пикачо', с.Мурада",,,Муниципальная,15.0
1649,"МКДОУ ДС 'Ласточка', с. Могох",,,Муниципальная,32.0
1650,"МКДОУ ДС 'Радуга', с. Хвартикуни",,,Муниципальная,26.0
1651,"МКДОУ ДС 'Теремок', с. Маали",,,Муниципальная,45.0
1652,"МКДОУ ДС 'Улыбка', с.Кикуни",,,Муниципальная,141.0
1653,"МКДОУ ДС 'Ромашка', с.Кикуни",,,Муниципальная,145.0
1654,"МКДОУ ДС 'Чебурашка', с.Аймаки",,,Муниципальная,50.0
1655,"МКДОУ ДС 'Дюймовочка', с. Кудутль",,,Муниципальная,34.0
1656,"МКДОУ ДС 'Солнышко', с.Гергебиль_",,,Муниципальная,320.0
1657,"МКДОУ ДС 'Малыш', с. Гергебиль",,,Муниципальная,121.0
1658,"МКДОУ ДС 'Нур', с. Курми",,,Муниципальная,67.0
1659,"МКДОУ ДС 'Звездочка', с. Сабнова'_",,,Муниципальная,101.0
1660,"МКДОУ ДС Чебурашка, пгт. Белиджи",,,Муниципальная,78.0
1661,"МКДОУ ДС №1 Улыбка, с.Геджух",,,Муниципальная,193.0
1662,"МБДОУ ДС 'Сказка', пгт. Мамедкала (40 м.)_",,,Муниципальная,67.0
1663,"МКДОУ ДС 'Севиндж', с.Падар_",,,Муниципальная,92.0
1664,"МКОУ «Школа-сад им.Курбанова С.Д», с.Н.Джалган",,,Муниципальная,84.0
1665,"МКДОУ ДС им. Бабаева Г.О., с.Салик",,,Муниципальная,158.0
1666,"МКДОУ ДС №2 Ягодка, с.Геджух",,,Муниципальная,215.0
1667,"МКДОУ ДС 'Солнышко', с.Кала",,,Муниципальная,82.0
1668,"МКДОУ ДС №1 'Росинка', с.Берикей",,,Муниципальная,159.0
1669,"МКДОУ ДС 'Ласточка', с.Чинар",,,Муниципальная,159.0
1670,"МБДОУ 'Детский сад Малыш', с. Хазар",,,Муниципальная,85.0
1671,"МКДОУ ДС 'Ласточка', с.Джемикент",,,Муниципальная,90.0
1672,"МКДОУ ДС 'Айгюн', с. Белиджи_",,,Муниципальная,115.0
1673,"МКДОУ ДС  'Юлдуз',  пгт.Мамедкала",,,Муниципальная,174.0
1674,МКДОУ ДС 'Клубничка' с.Уллутеркеме,,,Муниципальная,76.0
1675,"МКДОУ ДС 'Колосок', с.Деличобан",,,Муниципальная,91.0
1676,"МКДОУ ДС Алёна, пгт. Белиджи",,,Муниципальная,52.0
1677,"МКДОУ 'Детский сад общеразвивающего типа 'Ласточка', с.Акнада",,,Муниципальная,49.0
1678,МКДОУ 'Детский сад общеразвивающего вида 'Сказка' с.Стальское,,,Муниципальная,103.0
1679,"МКДОУ 'Детский сад общеразвивающего вида  'Звездочка', с.Нечаевка",,,Муниципальная,84.0
1680,"МКДОУ 'Детский сад общеразвивающего вида 'Теремок', с.Новочиркей",,,Муниципальная,74.0
1681,"МКДОУ ЦРР 'Детский сад общеразвивающего вида 'Тюльпан' с, Зубутли-Миатли",,,Муниципальная,102.0
1682,"МКДОУ 'Детский сад общеразвивающего вида 'Соколенок', с.Комсомольское",,,Муниципальная,90.0
1683,"МКДОУ 'Детский сад общеразвивающего вида 'Радуга', с. Кироваул",,,Муниципальная,53.0
1684,"МКДОУ 'Детский сад 'Дюймовочка', с.Султанянгиюрт",,,Муниципальная,212.0
1685,"МКДОУ 'Детский сад общеразвивающего вида 'Малыш', с.Чонтаул",,,Муниципальная,51.0
1686,МКДОУ 'Детский сад общеразвивающего вида  'Ветерок' с.Новочиркей_,,,Муниципальная,105.0
1687,!_МКОУ 'Сумбатлинская ООШ' (ГКП)_деят. приостан.,,,Муниципальная,1.0
1688,!_МКОУ 'Цыйшинская СОШ' (ГКП)_деят. приостан.,,,Муниципальная,1.0
1689,!_МКОУ 'Канинская ООШ' (ГКП)_деят.приост.,,,Муниципальная,6.0
1690,МКОУ Каялинская школа-сад №4 (СОШ),,,Муниципальная,16.0
1691,МКОУ 'Хайхинская школа-сад' (ООШ)_,,,Муниципальная,7.0
1692,!_МКОУ 'Кулинская СОШ №2' (гкп)_деят.приост.,,,Муниципальная,2.0
1693,"МКДОУ 'Солнышко', с.Коркмаскала_",,,Муниципальная,196.0
1694,"МКДОУ детский сад 'Радость', с.Коркмаскала",,,Муниципальная,420.0
1695,!_МКОУ 'Тюбинская СОШ' (ГКП)_деят. приост,,,Муниципальная,0.0
1696,_МКОУ «Кубинская ООШ» (ГКП),,,Муниципальная,8.0
1697,_МКОУ «Унчукатлинская СОШ» (гкп),,,Муниципальная,8.0
1698,_МКОУ «Шаринская СОШ» (ГКП),,,Муниципальная,8.0
1699,!_МКОУ Уринская ООШ» (ГКП)_деят. приост,,,Муниципальная,0.0
1700,_МКОУ «Хурхинская СОШ» (ГКП),,,Муниципальная,13.0
1701,_МКОУ «Курклинская СОШ» (ГКП),,,Муниципальная,6.0
1702,_МКОУ «Чуртахская ООШ» (ГКП),,,Муниципальная,8.0
1703,МКДОУ Кумухский д/сад,,,Муниципальная,109.0
1704,МКДОУ 'Детский сад 'Солнышко' с.Кумух (60 м.)_,,,Муниципальная,60.0
1705,_МКОУ 'Гельмецкая СОШ' (гкп),,,Муниципальная,17.0
1706,_МКОУ 'Куфинская СОШ' (гкп),,,Муниципальная,15.0
1707,_МКОУ 'Мишлешская СОШ' (гкп),,,Муниципальная,55.0
1708,_МКОУ 'Хлютская СОШ' (гкп),,,Муниципальная,28.0
1709,_МКОУ 'Ихрекская СОШ' (гкп).,,,Муниципальная,22.0
1710,_МКОУ 'Рутульская СОШ №1 им.Гусейнова' (гкп),,,Муниципальная,39.0
1711,"МКДОУ ДС «Настенька», с.Мишлеш",,,Муниципальная,40.0
1712,_МКОУ 'Аранская СОШ' (гкп),,,Муниципальная,23.0
1713,_МКОУ 'Рутульская СОШ №2 им. Мирзоева' (гкп),,,Муниципальная,6.0
1714,"МКДОУ ДС «Солнышко», с.Хлют",,,Муниципальная,30.0
1715,_МКОУ 'Калинская СОШ' (гкп),,,Муниципальная,20.0
1716,_МКОУ 'Джилихурская СОШ' (гкп),,,Муниципальная,18.0
1717,_МКОУ 'Аракульская СОШ' (гкп),,,Муниципальная,6.0
1718,_МКОУ 'Ихрекская ООШ' (гкп),,,Муниципальная,0.0
1719,_МКОУ 'Цудикская СОШ' (гкп),,,Муниципальная,9.0
1720,_МКОУ 'Кичинская СОШ' (гкп),,,Муниципальная,13.0
1721,_МКОУ 'Лучекская СОШ' (гкп),,,Муниципальная,9.0
1722,_МКОУ 'Дженыхская СОШ' (гкп),,,Муниципальная,8.0
1723,_МКОУ 'Амсарская СОШ' (гкп),,,Муниципальная,4.0
1724,_МКОУ 'Муслахская СОШ' (гкп),,,Муниципальная,12.0
1725,_МКОУ 'Цахурская СОШ' (гкп),,,Муниципальная,10.0
1726,_МКОУ 'Нижне-Катрухская СОШ' (гкп),,,Муниципальная,6.0
1727,_МКОУ 'Курдульская ООШ' (гкп),,,Муниципальная,5.0
1728,"МКДОУ ДС «Радость», с.Рутул",,,Муниципальная,74.0
1729,_МКОУ 'Микикская СОШ' (гкп),,,Муниципальная,4.0
1730,"МКДОУ ДС «Улыбка», с.Рутул",,,Муниципальная,105.0
1731,_МКОУ 'Шиназская СОШ' (гкп),,,Муниципальная,19.0
1732,_МКОУ 'Верхне-Катрухская СОШ' (гкп),,,Муниципальная,5.0
1733,"МКДОУ ДС «Орленок», с.Ихрек",,,Муниципальная,45.0
1734,_МКОУ 'Кининская СОШ' (гкп),,,Муниципальная,19.0
1735,!МКДОУ ' Детский сад с. Кадиркент' (на реконстр),,,Муниципальная,23.0
1736,МКДОУ 'Детский сад с.Мургук'_,,,Муниципальная,93.0
1737,МКДОУ ' Детский сад №3 с.Сергокала',,,Муниципальная,116.0
1738,МКДОУ ' Детский сад №4 с.Сергокала',,,Муниципальная,93.0
1739,МКДОУ 'Детский сад с. Краснопартизанск',,,Муниципальная,30.0
1740,!МКДОУ ' Детский сад с. Ванашимахи' (на реконстр),,,Муниципальная,22.0
1741,МКДОУ ' Детский сад с. Дегва',,,Муниципальная,17.0
1742,МКДОУ ' Детский сад с. Бурдеки',,,Муниципальная,31.0
1743,МКДОУ ' Детский сад с. Нижнемахарги',,,Муниципальная,23.0
1744,МКДОУ 'Детский сад с. Урахи',,,Муниципальная,28.0
1745,МКДОУ 'Детский сад с. Кичигамри',,,Муниципальная,50.0
1746,!_МКОУ Мюрегинская СОШ (гкп) - деят. приост.,,,Муниципальная,0.0
1747,МКДОУ ' Детский сад №1 с.Сергокала',,,Муниципальная,127.0
1748,МКДОУ 'Детский сад с. Маммаул',,,Муниципальная,30.0
1749,МКДОУ  'Детский сад 'Теремок' с. Новое Мугри',,,Муниципальная,20.0
1750,МКДОУ 'Детский сад с. Мюрего',,,Муниципальная,123.0
1751,МКДОУ ' Детский сад с. Миглакасимахи',,,Муниципальная,20.0
1752,МКДОУ 'Детский сад с. Аялизимахи',,,Муниципальная,23.0
1753,"МКДОУ 'Детский сад 'Олимпийский', с.Сергокала_",,,Муниципальная,204.0
1754,МКДОУ ' Детский сад №2 с.Сергокала',,,Муниципальная,69.0
1755,МКДОУ 'Чулатский детский сад 'Огонек'_,,,Муниципальная,50.0
1756,МКДОУ «Гасикский детский сад «Жемчужина»,,,Муниципальная,25.0
1757,МБДОУ 'Урзигский детский сад 'Орленок'_,,,Муниципальная,25.0
1758,МКДОУ «Цанакский детский сад «Улыбка»»,,,Муниципальная,25.0
1759,МКДОУ «Турагский детский сад «Радуга»»,,,Муниципальная,50.0
1760,МКДОУ «Фиргильский детский сад «Новичок»»,,,Муниципальная,24.0
1761,МКДОУ «Аркитский детский сад «Улдуз»»,,,Муниципальная,50.0
1762,МКДОУ «Ерсинский детский сад «Улдуз»»,,,Муниципальная,50.0
1763,МКДОУ «Чурдафский детский сад «Ласточка»»,,,Муниципальная,25.0
1764,МКДОУ «Татилский детский сад «Радуга»»,,,Муниципальная,75.0
1765,МКДОУ «Халагский детский сад «Солнышко»»,,,Муниципальная,50.0
1766,МКДОУ «Гурикский детский сад «Солнышко»»,,,Муниципальная,50.0
1767,МКДОУ «Хурикский детский сад «Радуга»»,,,Муниципальная,98.0
1768,МКДОУ «Ханагский детский сад «Рубас»,,,Муниципальная,50.0
1769,МКДОУ «Кюрягский детский сад «Русалочка»»,,,Муниципальная,25.0
1770,МКДОУ «Цалакский детский сад «Теремок»,,,Муниципальная,50.0
1771,МКДОУ «Улузский детский сад «Звезда»»,,,Муниципальная,25.0
1772,МКДОУ «Тинитский детский сад «Ручеёк»»,,,Муниципальная,50.0
1773,МКДОУ 'Джугдильский детский сад 'Ласточка'_,,,Муниципальная,50.0
1774,МКДОУ «Сиртичский детский сад «Солнышко»»,,,Муниципальная,100.0
1775,МКДОУ «Дюбекский детский сад «Колокольчик»»,,,Муниципальная,50.0
1776,МКДОУ «Дарвагский детский сад «Улыбка»»_,,,Муниципальная,150.0
1777,МКДОУ «Марагинский детский сад «Радуга»»,,,Муниципальная,50.0
1778,МКДОУ «Новолиджинский детский сад «Солнышко»»,,,Муниципальная,25.0
1779,МКДОУ «Гюхрягский детский сад «Чебурашка»»,,,Муниципальная,25.0
1780,МКДОУ «Шиленский детский сад «Радуга»»,,,Муниципальная,25.0
1781,МКДОУ «Ягдыгский детский сад «Алёнка»»,,,Муниципальная,49.0
1782,МКДОУ «Джулджагский детский сад «Радость»»,,,Муниципальная,76.0
1783,МКДОУ «Гурхунский детский сад «Радуга»,,,Муниципальная,25.0
1784,!МКДОУ «Бурганкентский детский сад «Радуга»_на кап.рем.,,,Муниципальная,0.0
1785,"МКОУ «Гимназия Табасаранского района», с. Хучни",,,Муниципальная,318.0
1786,МКДОУ «Хапильский детский сад «Улыбка»,,,Муниципальная,25.0
1787,МКДОУ «Пилигский детский сад «Ласточка»»,,,Муниципальная,50.0
1788,МКДОУ «Гелинбатанский детский сад «Рассвет»»,,,Муниципальная,26.0
1789,МКДОУ «Кужникский детский сад «Чебурашка»»,,,Муниципальная,50.0
1790,МКДОУ «Дагнинский детский сад «Заря»»,,,Муниципальная,24.0
1791,МКДОУ «Хили-пенджикский детский сад «Ласточка»»,,,Муниципальная,50.0
1792,_МКОУ 'Саситлинская СОШ' (ГКП)_,,,Муниципальная,8.0
1793,МКОУ Хуштадинская школа-сад,,,Муниципальная,30.0
1794,_МКОУ «Агвалинская СОШ» (ГКП),,,Муниципальная,44.0
1795,МКОУ Эчединская школа-сад,,,Муниципальная,31.0
1796,МКОУ 'Кединская  СОШ-сад' _,,,Муниципальная,31.0
1797,МКОУ Гадиринская ООШ-сад,,,Муниципальная,13.0
1798,МКОУ Верхнегакваринская школа-сад,,,Муниципальная,35.0
1799,МКОУ 'Тисси-Ахитлинская СОШ-детский сад',,,Муниципальная,30.0
1800,МКОУ 'Нижнеинхокваринская СОШ-сад' _,,,Муниципальная,30.0
1801,МКОУ 'Хонохская СОШ-сад'_,,,Муниципальная,30.0
1802,_МКОУ 'Гигатли-Урухская ООШ'  (ГКП),,,Муниципальная,10.0
1803,МКОУ Нижнегакваринская школа-сад,,,Муниципальная,31.0
1804,МКОУ 'Метрадинская СОШ-сад'_,,,Муниципальная,30.0
1805,МБДОУ 'Акушинский детский сад',,,Муниципальная,262.0
1806,МКДОУ 'Гапшиминский детский сад',,,Муниципальная,60.0
1807,МКДОУ 'Верхне-Мулебкинский детский сад',,,Муниципальная,34.0
1808,МБДОУ Тебекмахинский детский сад _,,,Муниципальная,110.0
1809,МКДОУ Сардаркентский детский сад «Аманат»_,,,Муниципальная,48.0
1810,"МКДОУ ДС 'Чубарук', с.Ашага-Стал-Казмаляр_+",,,Муниципальная,148.0
1811,МКДОУ «Укальский ясли-сад» Тляратинского района,,,Муниципальная,55.0
1812,МКДОУ «Нурухский детский сад» Тляратинского района_,,,Муниципальная,15.0
1813,МКДОУ «Гиндибский детский сад» Тляратинского района,,,Муниципальная,15.0
1814,МКДОУ «Чилдинский детский сад» Тляратинского района,,,Муниципальная,12.0
1815,МКДОУ «Гведышинский детский сад» Тляратинского района,,,Муниципальная,15.0
1816,МКДОУ «Хадияльский детский сад» Тляратинского района,,,Муниципальная,14.0
1817,МКДОУ «Хиндахский детский сад» Тляратинского района,,,Муниципальная,15.0
1818,МКДОУ «Саниортинский детский сад» Тляратинского района,,,Муниципальная,15.0
1819,МКДОУ «Тох-ординский ясли-сад» Тляратинского района,,,Муниципальная,25.0
1820,МКДОУ «Камилюхский детский сад» Тляратинского района,,,Муниципальная,15.0
1821,МКДОУ «Кутлабский детский сад» Тляратинского района,,,Муниципальная,30.0
1822,МКДОУ «Нитиицухский детский сад» Тляратинского района_,,,Муниципальная,15.0
1823,МКДОУ «Талцухский детский сад» Тляратинского района,,,Муниципальная,15.0
1824,МКДОУ «Хидибский детский сад» Тляратинского района,,,Муниципальная,15.0
1825,МКДОУ «Кардибский детский сад» Тляратинского района,,,Муниципальная,15.0
1826,МКДОУ «Чородинский детский сад» Тляратинского района,,,Муниципальная,15.0
1827,МКДОУ «Никарский детский сад» Тляратинского района,,,Муниципальная,15.0
1828,"МКДОУ «Тляратинский ясли-сад » Тляратинского района, 'Джурмут'_",,,Муниципальная,140.0
1829,МКДОУ «Гиндухский детский сад» Тляратинского района,,,Муниципальная,15.0
1830,МКДОУ «Тохотинский детский сад» Тляратинского района,,,Муниципальная,15.0
1831,МКДОУ «Жажадинский детский сад» Тляратинского района,,,Муниципальная,15.0
1832,МКДОУ «Бетельдинский детский сад» Тляратинского района,,,Муниципальная,15.0
1833,МКДОУ «Генеколобский детский сад» Тляратинского района,,,Муниципальная,15.0
1834,МКДОУ «Мазадинский детский сад» Тляратинского района,,,Муниципальная,15.0
1835,МКДОУ «Тлянадинский детский сад» Тляратинского района,,,Муниципальная,14.0
1836,МКДОУ «Роснобский детский сад» Тляратинского района_,,,Муниципальная,30.0
1837,МКДОУ «Анцухский детский сад» Тляратинского района,,,Муниципальная,15.0
1838,МКДОУ «Чадаколобский детский сад» Тляратинского района,,,Муниципальная,30.0
1839,МКДОУ «Ландинский детский сад» Тляратинского района,,,Муниципальная,15.0
1840,МКДОУ «Цумилюхский детский сад» Тляратинского района,,,Муниципальная,15.0
1841,МКДОУ «Кособский детский сад» Тляратинского района,,,Муниципальная,15.0
